Date,DayOfWeek,IsHoliday,ETU_Admissions,ETU_Discharges,ETU_BedCapacity,ETU_OccupiedBeds,Weather,SpecialEvent,PublicTransportStatus,OutbreakAlert,Shift_ID
1/1/2000 0:00,Saturday,Yes,10,7,15,16,Sunny,,Normal,No,Day
1/1/2000 0:00,Saturday,Yes,11,7,15,19,Sunny,,Normal,No,Night
1/2/2000 0:00,Sunday,Yes,11,7,15,12,Sunny,,Normal,No,Day
1/2/2000 0:00,Sunday,Yes,12,7,15,18,Sunny,,Normal,No,Night
1/3/2000 0:00,Monday,No,13,8,15,10,Cloudy,,Delayed,No,Day
1/3/2000 0:00,Monday,No,13,8,15,13,Cloudy,,Delayed,No,Night
1/4/2000 0:00,Tuesday,No,7,5,15,12,Sunny,,Normal,No,Day
1/4/2000 0:00,Tuesday,No,8,5,15,16,Sunny,,Normal,No,Night
1/5/2000 0:00,Wednesday,No,11,7,15,17,Sunny,,Normal,No,Day
1/5/2000 0:00,Wednesday,No,11,7,15,18,Sunny,,Normal,No,Night
1/6/2000 0:00,Thursday,No,6,4,15,19,Rainy,,Normal,No,Day
1/6/2000 0:00,Thursday,No,6,4,15,16,Rainy,,Normal,No,Night
1/7/2000 0:00,Friday,No,12,8,15,19,Sunny,,Delayed,No,Day
1/7/2000 0:00,Friday,No,12,8,15,15,Sunny,,Delayed,No,Night
1/8/2000 0:00,Saturday,Yes,6,4,15,14,Cloudy,TransportStrike,Strike,No,Day
1/8/2000 0:00,Saturday,Yes,7,4,15,17,Cloudy,TransportStrike,Strike,No,Night
1/9/2000 0:00,Sunday,Yes,9,6,15,16,Sunny,,Normal,No,Day
1/9/2000 0:00,Sunday,Yes,10,6,15,15,Sunny,,Normal,No,Night
1/10/2000 0:00,Monday,No,15,10,15,17,Cloudy,,Normal,No,Day
1/10/2000 0:00,Monday,No,15,10,15,16,Cloudy,,Normal,No,Night
1/11/2000 0:00,Tuesday,No,7,5,15,16,Sunny,,Normal,No,Day
1/11/2000 0:00,Tuesday,No,8,5,15,15,Sunny,,Normal,No,Night
1/12/2000 0:00,Wednesday,No,8,5,15,19,Rainy,,Normal,No,Day
1/12/2000 0:00,Wednesday,No,8,5,15,11,Rainy,,Normal,No,Night
1/13/2000 0:00,Thursday,No,8,5,15,19,Sunny,,Normal,No,Day
1/13/2000 0:00,Thursday,No,9,5,15,19,Sunny,,Normal,No,Night
1/14/2000 0:00,Friday,No,10,6,15,19,Sunny,,Normal,No,Day
1/14/2000 0:00,Friday,No,10,6,15,15,Sunny,,Normal,No,Night
1/15/2000 0:00,Saturday,Yes,10,7,15,17,Sunny,,Normal,No,Day
1/15/2000 0:00,Saturday,Yes,11,7,15,15,Sunny,,Normal,No,Night
1/16/2000 0:00,Sunday,Yes,11,7,15,17,Cloudy,,Normal,No,Day
1/16/2000 0:00,Sunday,Yes,11,7,15,20,Cloudy,,Normal,No,Night
1/17/2000 0:00,Monday,No,13,9,15,18,Sunny,,Normal,No,Day
1/17/2000 0:00,Monday,No,14,9,15,15,Sunny,,Normal,No,Night
1/18/2000 0:00,Tuesday,No,8,5,15,17,Rainy,,Normal,No,Day
1/18/2000 0:00,Tuesday,No,8,5,15,19,Rainy,,Normal,No,Night
1/19/2000 0:00,Wednesday,No,10,6,15,20,Sunny,,Normal,No,Day
1/19/2000 0:00,Wednesday,No,10,6,15,17,Sunny,,Normal,No,Night
1/20/2000 0:00,Thursday,No,10,7,15,14,Cloudy,,Normal,No,Day
1/20/2000 0:00,Thursday,No,11,7,15,13,Cloudy,,Normal,No,Night
1/21/2000 0:00,Friday,Yes,12,8,15,20,Sunny,,Normal,No,Day
1/21/2000 0:00,Friday,Yes,12,8,15,15,Sunny,,Normal,No,Night
1/22/2000 0:00,Saturday,Yes,11,7,15,19,Sunny,,Normal,No,Day
1/22/2000 0:00,Saturday,Yes,12,7,15,18,Sunny,,Normal,No,Night
1/23/2000 0:00,Sunday,Yes,12,8,15,17,Rainy,,Normal,No,Day
1/23/2000 0:00,Sunday,Yes,12,8,15,16,Rainy,,Normal,No,Night
1/24/2000 0:00,Monday,No,13,9,15,20,Cloudy,,Normal,No,Day
1/24/2000 0:00,Monday,No,14,9,15,12,Cloudy,,Normal,No,Night
1/25/2000 0:00,Tuesday,No,9,6,15,20,Sunny,,Normal,No,Day
1/25/2000 0:00,Tuesday,No,9,6,15,14,Sunny,,Normal,No,Night
1/26/2000 0:00,Wednesday,No,8,5,15,19,Rainy,,Normal,No,Day
1/26/2000 0:00,Wednesday,No,9,5,15,19,Rainy,,Normal,No,Night
1/27/2000 0:00,Thursday,No,10,6,15,17,Sunny,,Normal,No,Day
1/27/2000 0:00,Thursday,No,10,6,15,20,Sunny,,Normal,No,Night
1/28/2000 0:00,Friday,No,15,10,15,18,Cloudy,,Normal,No,Day
1/28/2000 0:00,Friday,No,15,10,15,19,Cloudy,,Normal,No,Night
1/29/2000 0:00,Saturday,Yes,12,8,15,19,Sunny,,Normal,No,Day
1/29/2000 0:00,Saturday,Yes,12,8,15,16,Sunny,,Normal,No,Night
1/30/2000 0:00,Sunday,Yes,10,6,15,19,Sunny,,Normal,No,Day
1/30/2000 0:00,Sunday,Yes,10,6,15,18,Sunny,,Normal,No,Night
1/31/2000 0:00,Monday,No,13,8,15,18,Sunny,,Delayed,No,Day
1/31/2000 0:00,Monday,No,13,8,15,15,Sunny,,Delayed,No,Night
2/1/2000 0:00,Tuesday,No,7,5,15,17,Sunny,,Normal,No,Day
2/1/2000 0:00,Tuesday,No,8,5,15,20,Sunny,,Normal,No,Night
2/2/2000 0:00,Wednesday,No,7,5,15,19,Sunny,,Normal,No,Day
2/2/2000 0:00,Wednesday,No,8,5,15,20,Sunny,,Normal,No,Night
2/3/2000 0:00,Thursday,No,10,7,15,10,Sunny,,Normal,No,Day
2/3/2000 0:00,Thursday,No,11,7,15,19,Sunny,,Normal,No,Night
2/4/2000 0:00,Friday,No,11,7,15,10,Sunny,,Normal,No,Day
2/4/2000 0:00,Friday,No,11,7,15,10,Sunny,,Normal,No,Night
2/5/2000 0:00,Saturday,Yes,10,6,15,20,Cloudy,,Normal,No,Day
2/5/2000 0:00,Saturday,Yes,10,6,15,19,Cloudy,,Normal,No,Night
2/6/2000 0:00,Sunday,Yes,10,7,15,15,Sunny,,Normal,No,Day
2/6/2000 0:00,Sunday,Yes,11,7,15,13,Sunny,,Normal,No,Night
2/7/2000 0:00,Monday,No,13,8,15,19,Sunny,,Normal,No,Day
2/7/2000 0:00,Monday,No,13,8,15,10,Sunny,,Normal,No,Night
2/8/2000 0:00,Tuesday,No,10,6,15,15,Sunny,,Normal,No,Day
2/8/2000 0:00,Tuesday,No,10,6,15,20,Sunny,,Normal,No,Night
2/9/2000 0:00,Wednesday,No,11,7,15,16,Sunny,,Normal,No,Day
2/9/2000 0:00,Wednesday,No,11,7,15,16,Sunny,,Normal,No,Night
2/10/2000 0:00,Thursday,No,8,5,15,12,Sunny,,Normal,No,Day
2/10/2000 0:00,Thursday,No,9,5,15,16,Sunny,,Normal,No,Night
2/11/2000 0:00,Friday,No,10,7,15,18,Sunny,,Normal,No,Day
2/11/2000 0:00,Friday,No,11,7,15,15,Sunny,,Normal,No,Night
2/12/2000 0:00,Saturday,Yes,9,6,15,16,Cloudy,,Normal,No,Day
2/12/2000 0:00,Saturday,Yes,10,6,15,11,Cloudy,,Normal,No,Night
2/13/2000 0:00,Sunday,Yes,8,5,15,18,Sunny,,Normal,No,Day
2/13/2000 0:00,Sunday,Yes,8,5,15,15,Sunny,,Normal,No,Night
2/14/2000 0:00,Monday,No,15,11,15,16,Cloudy,,Delayed,Yes,Day
2/14/2000 0:00,Monday,No,15,11,15,20,Cloudy,,Delayed,Yes,Night
2/15/2000 0:00,Tuesday,No,12,8,15,13,Cloudy,,Normal,No,Day
2/15/2000 0:00,Tuesday,No,12,8,15,15,Cloudy,,Normal,No,Night
2/16/2000 0:00,Wednesday,No,8,5,15,18,Cloudy,,Normal,No,Day
2/16/2000 0:00,Wednesday,No,8,5,15,17,Cloudy,,Normal,No,Night
2/17/2000 0:00,Thursday,No,13,9,15,17,Sunny,,Normal,No,Day
2/17/2000 0:00,Thursday,No,14,9,15,19,Sunny,,Normal,No,Night
2/18/2000 0:00,Friday,No,11,7,15,12,Sunny,,Normal,No,Day
2/18/2000 0:00,Friday,No,11,7,15,17,Sunny,,Normal,No,Night
2/19/2000 0:00,Saturday,Yes,13,9,15,17,Cloudy,,Normal,No,Day
2/19/2000 0:00,Saturday,Yes,14,9,15,11,Cloudy,,Normal,No,Night
2/20/2000 0:00,Sunday,Yes,11,7,15,17,Sunny,,Normal,No,Day
2/20/2000 0:00,Sunday,Yes,11,7,15,19,Sunny,,Normal,No,Night
2/21/2000 0:00,Monday,No,12,8,15,16,Rainy,,Normal,No,Day
2/21/2000 0:00,Monday,No,13,8,15,10,Rainy,,Normal,No,Night
2/22/2000 0:00,Tuesday,No,9,6,15,17,Sunny,,Normal,No,Day
2/22/2000 0:00,Tuesday,No,9,6,15,15,Sunny,,Normal,No,Night
2/23/2000 0:00,Wednesday,No,5,3,15,19,Sunny,,Normal,No,Day
2/23/2000 0:00,Wednesday,No,6,3,15,19,Sunny,,Normal,No,Night
