Date,DayOfWeek,IsHoliday,ETU_Admissions,ETU_Discharges,ETU_BedCapacity,ETU_OccupiedBeds,Weather,SpecialEvent,PublicTransportStatus,OutbreakAlert,Shift_ID
1/1/2016,Friday,No,1,2,5,4,Sunny,None,Normal,None,Evening
1/1/2016,Friday,No,4,5,5,2,Sunny,None,Normal,None,Morning
1/1/2016,Friday,No,3,1,5,3,Sunny,None,Normal,None,Night
1/2/2016,Saturday,No,4,3,5,1,Sunny,None,Normal,None,Evening
1/2/2016,Saturday,No,3,3,5,2,Sunny,None,Normal,None,Morning
1/2/2016,Saturday,No,2,4,5,3,Sunny,None,Normal,None,Night
1/3/2016,Sunday,No,1,1,5,2,Rainy,None,Reduced,None,Evening
1/3/2016,Sunday,No,4,4,5,2,Rainy,None,Reduced,None,Morning
1/3/2016,Sunday,No,2,1,5,2,Rainy,None,Reduced,None,Night
1/4/2016,Monday,No,3,4,5,1,Sunny,None,Normal,None,Evening
1/4/2016,Monday,No,4,5,5,2,Sunny,None,Normal,None,Morning
1/4/2016,Monday,No,0,3,5,3,Sunny,None,Normal,None,Night
1/5/2016,Tuesday,No,5,2,5,4,Cloudy,None,Normal,None,Evening
1/5/2016,Tuesday,No,5,3,5,3,Cloudy,None,Normal,None,Morning
1/5/2016,Tuesday,No,1,4,5,5,Cloudy,None,Normal,None,Night
1/6/2016,Wednesday,No,3,5,5,2,Sunny,None,Normal,None,Evening
1/6/2016,Wednesday,No,2,2,5,2,Sunny,None,Normal,None,Morning
1/6/2016,Wednesday,No,2,3,5,3,Sunny,None,Normal,None,Night
1/7/2016,Thursday,No,4,5,5,4,Sunny,None,Normal,None,Evening
1/7/2016,Thursday,No,3,5,5,2,Sunny,None,Normal,None,Morning
1/7/2016,Thursday,No,1,5,5,3,Sunny,None,Normal,None,Night
1/8/2016,Friday,No,4,1,5,1,Sunny,None,Normal,None,Evening
1/8/2016,Friday,No,3,3,5,2,Sunny,None,Normal,None,Morning
1/8/2016,Friday,No,3,4,5,1,Sunny,None,Normal,None,Night
1/9/2016,Saturday,No,1,5,5,2,Cloudy,None,Normal,None,Evening
1/9/2016,Saturday,No,4,5,5,1,Cloudy,None,Normal,None,Morning
1/9/2016,Saturday,No,0,2,5,3,Cloudy,None,Normal,None,Night
1/10/2016,Sunday,No,2,4,5,1,Rainy,None,Normal,None,Evening
1/10/2016,Sunday,No,5,2,5,3,Rainy,None,Normal,None,Morning
1/10/2016,Sunday,No,3,1,5,2,Rainy,None,Normal,None,Night
1/11/2016,Monday,No,4,2,5,2,Cloudy,None,Normal,None,Evening
1/11/2016,Monday,No,5,2,5,2,Cloudy,None,Normal,None,Morning
1/11/2016,Monday,No,3,4,5,1,Cloudy,None,Normal,None,Night
1/12/2016,Tuesday,No,5,5,5,3,Sunny,None,Normal,None,Evening
1/12/2016,Tuesday,No,3,4,5,3,Sunny,None,Normal,None,Morning
1/12/2016,Tuesday,No,4,4,5,3,Sunny,None,Normal,None,Night
1/13/2016,Wednesday,No,2,5,5,4,Rainy,None,Normal,None,Evening
1/13/2016,Wednesday,No,1,2,5,2,Rainy,None,Normal,None,Morning
1/13/2016,Wednesday,No,3,4,5,2,Rainy,None,Normal,None,Night
1/14/2016,Thursday,No,5,4,5,3,Cloudy,None,Normal,None,Evening
1/14/2016,Thursday,No,5,5,5,4,Cloudy,None,Normal,None,Morning
1/14/2016,Thursday,No,2,5,5,2,Cloudy,None,Normal,None,Night
1/15/2016,Friday,Yes,2,4,5,3,Sunny,Tamil Thai Pongal Day,Normal,None,Evening
1/15/2016,Friday,Yes,0,4,5,2,Sunny,Tamil Thai Pongal Day,Normal,None,Morning
1/15/2016,Friday,Yes,3,3,5,2,Sunny,Tamil Thai Pongal Day,Normal,None,Night
1/16/2016,Saturday,No,4,1,5,3,Sunny,None,Normal,None,Evening
1/16/2016,Saturday,No,3,2,5,3,Sunny,None,Normal,None,Morning
1/16/2016,Saturday,No,4,5,5,4,Sunny,None,Normal,None,Night
1/17/2016,Sunday,No,5,5,5,4,Rainy,None,Normal,None,Evening
1/17/2016,Sunday,No,4,5,5,2,Rainy,None,Normal,None,Morning
1/17/2016,Sunday,No,3,0,5,4,Rainy,None,Normal,None,Night
1/18/2016,Monday,No,4,5,5,2,Sunny,None,Normal,None,Evening
1/18/2016,Monday,No,2,5,5,1,Sunny,None,Normal,None,Morning
1/18/2016,Monday,No,3,3,5,0,Sunny,None,Normal,None,Night
1/19/2016,Tuesday,No,2,2,5,3,Sunny,None,Normal,None,Evening
1/19/2016,Tuesday,No,4,5,5,4,Sunny,None,Normal,None,Morning
1/19/2016,Tuesday,No,5,5,5,3,Sunny,None,Normal,None,Night
1/20/2016,Wednesday,No,0,5,5,3,Sunny,None,Normal,None,Evening
1/20/2016,Wednesday,No,2,4,5,2,Sunny,None,Normal,None,Morning
1/20/2016,Wednesday,No,5,1,5,3,Sunny,None,Normal,None,Night
1/21/2016,Thursday,No,3,5,5,3,Sunny,None,Normal,None,Evening
1/21/2016,Thursday,No,5,2,5,1,Sunny,None,Normal,None,Morning
1/21/2016,Thursday,No,3,5,5,3,Sunny,None,Normal,None,Night
1/22/2016,Friday,No,5,4,5,1,Sunny,None,Normal,None,Evening
1/22/2016,Friday,No,3,2,5,1,Sunny,None,Normal,None,Morning
1/22/2016,Friday,No,5,1,5,2,Sunny,None,Normal,None,Night
1/23/2016,Saturday,Yes,2,5,5,2,Sunny,Duruthu Full Moon Poya Day,Normal,None,Evening
1/23/2016,Saturday,Yes,3,5,5,3,Sunny,Duruthu Full Moon Poya Day,Normal,None,Morning
1/23/2016,Saturday,Yes,3,2,5,1,Sunny,Duruthu Full Moon Poya Day,Normal,None,Night
1/24/2016,Sunday,No,3,5,5,4,Rainy,None,Normal,None,Evening
1/24/2016,Sunday,No,2,5,5,3,Rainy,None,Normal,None,Morning
1/24/2016,Sunday,No,2,5,5,2,Rainy,None,Normal,None,Night
1/25/2016,Monday,No,3,2,5,1,Sunny,None,Normal,MeaslesAlert,Evening
1/25/2016,Monday,No,5,2,5,1,Sunny,None,Normal,MeaslesAlert,Morning
1/25/2016,Monday,No,0,4,5,0,Sunny,None,Normal,MeaslesAlert,Night
1/26/2016,Tuesday,No,4,4,5,5,Rainy,None,Normal,None,Evening
1/26/2016,Tuesday,No,5,4,5,4,Rainy,None,Normal,None,Morning
1/26/2016,Tuesday,No,5,4,5,3,Rainy,None,Normal,None,Night
1/27/2016,Wednesday,No,1,4,5,3,Sunny,None,Normal,None,Evening
1/27/2016,Wednesday,No,2,3,5,4,Sunny,None,Normal,None,Morning
1/27/2016,Wednesday,No,2,4,5,2,Sunny,None,Normal,None,Night
1/28/2016,Thursday,No,2,2,5,3,Cloudy,None,Normal,None,Evening
1/28/2016,Thursday,No,2,2,5,2,Cloudy,None,Normal,None,Morning
1/28/2016,Thursday,No,3,4,5,2,Cloudy,None,Normal,None,Night
1/29/2016,Friday,No,2,5,5,2,Cloudy,None,Normal,None,Evening
1/29/2016,Friday,No,5,5,5,1,Cloudy,None,Normal,None,Morning
1/29/2016,Friday,No,5,2,5,2,Cloudy,None,Normal,None,Night
1/30/2016,Saturday,No,1,5,5,3,Sunny,None,Normal,None,Evening
1/30/2016,Saturday,No,5,5,5,4,Sunny,None,Normal,None,Morning
1/30/2016,Saturday,No,0,2,5,3,Sunny,None,Normal,None,Night
1/31/2016,Sunday,No,2,5,5,3,Sunny,None,Normal,None,Evening
1/31/2016,Sunday,No,2,5,5,1,Sunny,None,Normal,None,Morning
1/31/2016,Sunday,No,2,3,5,4,Sunny,None,Normal,None,Night
2/1/2016,Monday,No,5,5,5,2,Sunny,None,Normal,None,Evening
2/1/2016,Monday,No,5,3,5,2,Sunny,None,Normal,None,Morning
2/1/2016,Monday,No,5,4,5,4,Sunny,None,Normal,None,Night
2/2/2016,Tuesday,No,0,1,5,2,Sunny,None,Normal,None,Evening
2/2/2016,Tuesday,No,5,3,5,3,Sunny,None,Normal,None,Morning
2/2/2016,Tuesday,No,5,2,5,2,Sunny,None,Normal,None,Night
2/3/2016,Wednesday,No,3,2,5,3,Sunny,None,Normal,None,Evening
2/3/2016,Wednesday,No,5,2,5,3,Sunny,None,Normal,None,Morning
2/3/2016,Wednesday,No,4,5,5,2,Sunny,None,Normal,None,Night
2/4/2016,Thursday,Yes,2,4,5,3,Cloudy,National Day,Normal,None,Evening
2/4/2016,Thursday,Yes,3,2,5,0,Cloudy,National Day,Normal,None,Morning
2/4/2016,Thursday,Yes,3,4,5,1,Cloudy,National Day,Normal,None,Night
2/5/2016,Friday,No,2,3,5,3,Sunny,None,Normal,None,Evening
2/5/2016,Friday,No,5,2,5,1,Sunny,None,Normal,None,Morning
2/5/2016,Friday,No,3,5,5,2,Sunny,None,Normal,None,Night
2/6/2016,Saturday,No,1,5,5,4,Cloudy,None,Normal,None,Evening
2/6/2016,Saturday,No,0,5,5,3,Cloudy,None,Normal,None,Morning
2/6/2016,Saturday,No,1,2,5,3,Cloudy,None,Normal,None,Night
2/7/2016,Sunday,No,3,4,5,4,Sunny,None,Normal,None,Evening
2/7/2016,Sunday,No,5,5,5,4,Sunny,None,Normal,None,Morning
2/7/2016,Sunday,No,1,5,5,2,Sunny,None,Normal,None,Night
2/8/2016,Monday,No,5,3,5,3,Cloudy,None,Normal,None,Evening
2/8/2016,Monday,No,4,5,5,4,Cloudy,None,Normal,None,Morning
2/8/2016,Monday,No,2,5,5,3,Cloudy,None,Normal,None,Night
2/9/2016,Tuesday,No,2,3,5,3,Sunny,None,Normal,None,Evening
2/9/2016,Tuesday,No,4,3,5,2,Sunny,None,Normal,None,Morning
2/9/2016,Tuesday,No,5,4,5,3,Sunny,None,Normal,None,Night
2/10/2016,Wednesday,No,3,4,5,3,Sunny,None,Normal,None,Evening
2/10/2016,Wednesday,No,5,3,5,4,Sunny,None,Normal,None,Morning
2/10/2016,Wednesday,No,4,4,5,1,Sunny,None,Normal,None,Night
2/11/2016,Thursday,No,1,3,5,3,Sunny,None,Normal,None,Evening
2/11/2016,Thursday,No,5,2,5,3,Sunny,None,Normal,None,Morning
2/11/2016,Thursday,No,5,2,5,2,Sunny,None,Normal,None,Night
2/12/2016,Friday,No,3,2,5,1,Sunny,None,Normal,MeaslesAlert,Evening
2/12/2016,Friday,No,2,5,5,3,Sunny,None,Normal,MeaslesAlert,Morning
2/12/2016,Friday,No,4,1,5,2,Sunny,None,Normal,MeaslesAlert,Night
2/13/2016,Saturday,No,0,5,5,2,Sunny,None,Normal,None,Evening
2/13/2016,Saturday,No,5,3,5,2,Sunny,None,Normal,None,Morning
2/13/2016,Saturday,No,4,4,5,5,Sunny,None,Normal,None,Night
2/14/2016,Sunday,No,3,1,5,5,Sunny,None,Normal,None,Evening
2/14/2016,Sunday,No,0,5,5,2,Sunny,None,Normal,None,Morning
2/14/2016,Sunday,No,5,5,5,3,Sunny,None,Normal,None,Night
2/15/2016,Monday,No,4,3,5,4,Rainy,None,Normal,None,Evening
